iter	Passed	Remaining
419	2430	3356
420	2436	3350
421	2441	3344
422	2447	3337
423	2453	3332
424	2459	3327
425	2465	3322
426	2471	3316
427	2477	3310
428	2483	3305
429	2489	3299
430	2495	3294
431	2501	3288
432	2506	3282
433	2511	3275
434	2517	3269
435	2522	3263
436	2528	3257
437	2533	3250
438	2538	3244
439	2544	3238
440	2550	3232
441	2556	3226
442	2561	3220
443	2566	3214
444	2572	3208
445	2578	3203
446	2585	3198
447	2592	3193
448	2597	3188
449	2603	3182
450	2609	3176
451	2614	3170
452	2620	3164
453	2625	3157
454	2631	3151
455	2636	3145
456	2642	3139
457	2647	3133
458	2652	3126
459	2658	3120
460	2663	3113
461	2669	3108
462	2675	3102
463	2680	3096
464	2686	3090
465	2691	3084
466	2696	3078
467	2702	3071
468	2707	3065
469	2713	3059
470	2719	3054
471	2726	3049
472	2732	3044
473	2739	3039
474	2745	3034
475	2750	3027
476	2756	3022
477	2761	3016
478	2767	3009
479	2772	3003
480	2777	2997
481	2783	2991
482	2788	2985
483	2794	2979
484	2800	2973
485	2805	2967
486	2810	2960
487	2816	2955
488	2822	2949
489	2828	2944
490	2834	2938
491	2839	2932
492	2845	2925
493	2850	2919
494	2856	2914
495	2861	2908
496	2867	2901
497	2872	2895
498	2877	2889
499	2882	2882
500	2888	2876
501	2893	2870
502	2899	2865
503	2905	2859
504	2911	2853
505	2916	2847
506	2921	2841
507	2927	2835
508	2933	2829
509	2939	2823
510	2944	2817
511	2949	2811
512	2955	2805
513	2961	2800
514	2967	2794
515	2972	2788
516	2978	2782
517	2983	2776
518	2989	2770
519	2994	2764
520	2999	2757
521	3005	2752
522	3011	2746
523	3017	2740
524	3023	2735
525	3029	2729
526	3035	2724
527	3041	2719
528	3047	2713
529	3054	2708
530	3062	2704
531	3069	2700
532	3075	2694
533	3080	2688
534	3085	2682
535	3091	2675
536	3096	2669
537	3101	2662
538	3105	2656
539	3111	2650
540	3117	2644
541	3122	2638
542	3127	2632
543	3133	2626
544	3138	2620
545	3144	2614
546	3149	2608
547	3154	2602
548	3160	2596
549	3166	2590
550	3171	2584
551	3177	2578
552	3182	2572
553	3187	2566
554	3193	2560
555	3199	2554
556	3204	2549
557	3210	2543
558	3215	2537
559	3221	2531
560	3227	2525
561	3232	2519
562	3238	2513
563	3244	2507
564	3250	2502
565	3255	2496
566	3261	2490
567	3266	2484
568	3272	2478
569	3278	2473
570	3284	2467
571	3289	2461
572	3294	2455
573	3300	2449
574	3307	2444
575	3313	2438
576	3318	2432
577	3324	2426
578	3329	2421
579	3335	2415
580	3342	2410
581	3348	2404
582	3355	2399
583	3361	2394
584	3367	2388
585	3373	2383
586	3378	2377
587	3384	2371
588	3390	2365
589	3396	2360
590	3401	2354
591	3407	2348
592	3412	2342
593	3417	2336
594	3423	2330
595	3429	2324
596	3435	2318
597	3440	2312
598	3446	2307
599	3451	2301
600	3456	2295
601	3462	2288
602	3467	2283
603	3473	2277
604	3478	2271
605	3484	2265
606	3490	2260
607	3496	2254
608	3502	2248
609	3508	2242
610	3513	2237
611	3519	2231
612	3525	2225
613	3531	2220
614	3538	2215
615	3544	2209
616	3550	2203
617	3556	2198
618	3561	2192
619	3567	2186
620	3572	2180
621	3578	2174
622	3583	2168
623	3588	2162
624	3594	2156
625	3600	2150
626	3605	2145
627	3611	2139
628	3616	2133
629	3622	2127
630	3628	2121
631	3633	2115
632	3638	2109
633	3644	2103
634	3649	2097
635	3655	2092
636	3660	2086
637	3666	2080
638	3671	2074
639	3676	2068
640	3682	2062
641	3687	2056
642	3692	2050
643	3697	2044
644	3703	2038
645	3708	2032
646	3713	2026
647	3719	2020
648	3725	2014
649	3730	2008
650	3736	2003
651	3741	1997
652	3747	1991
653	3753	1985
654	3759	1980
655	3764	1974
656	3770	1968
657	3775	1962
658	3783	1957
659	3789	1951
660	3795	1946
661	3800	1940
662	3806	1934
663	3811	1928
664	3817	1922
665	3822	1917
666	3828	1911
667	3833	1905
668	3839	1899
669	3844	1893
670	3850	1887
671	3855	1882
672	3861	1876
673	3866	1870
674	3872	1864
675	3878	1858
676	3883	1853
677	3889	1847
678	3894	1841
679	3900	1835
680	3906	1829
681	3911	1823
682	3916	1817
683	3922	1812
684	3927	1806
685	3932	1800
686	3938	1794
687	3943	1788
688	3950	1783
689	3957	1777
690	3963	1772
691	3969	1766
692	3974	1760
693	3980	1755
694	3985	1749
695	3991	1743
696	3997	1737
697	4002	1731
698	4008	1725
699	4013	1720
700	4019	1714
701	4025	1708
702	4031	1703
703	4036	1697
704	4042	1691
705	4047	1685
706	4052	1679
707	4059	1674
708	4066	1669
709	4072	1663
710	4078	1657
711	4084	1652
712	4091	1646
713	4097	1641
714	4103	1635
715	4109	1629
716	4114	1624
717	4120	1618
718	4126	1612
719	4134	1607
720	4140	1602
721	4145	1596
722	4150	1590
723	4155	1584
724	4160	1578
725	4165	1572
726	4170	1566
727	4175	1560
728	4182	1554
729	4188	1549
730	4194	1543
731	4200	1538
732	4206	1532
733	4212	1526
734	4218	1520
735	4224	1515
736	4229	1509
737	4235	1503
738	4240	1497
739	4246	1492
740	4252	1486
741	4258	1480
742	4263	1474
743	4268	1468
744	4274	1463
745	4280	1457
746	4286	1451
747	4292	1446
748	4298	1440
749	4304	1434
750	4309	1428
751	4315	1423
752	4320	1417
753	4326	1411
754	4332	1405
755	4337	1399
756	4342	1393
757	4348	1388
758	4354	1382
759	4360	1377
760	4366	1371
761	4371	1365
762	4377	1359
763	4382	1353
764	4387	1347
765	4392	1341
766	4398	1336
767	4403	1330
768	4408	1324
769	4414	1318
770	4420	1313
771	4426	1307
772	4432	1301
773	4438	1295
774	4444	1290
775	4450	1284
776	4456	1278
777	4461	1273
778	4466	1267
779	4472	1261
780	4478	1255
781	4484	1250
782	4489	1244
783	4494	1238
784	4500	1232
785	4505	1226
786	4510	1220
787	4516	1215
788	4522	1209
789	4529	1203
790	4535	1198
791	4540	1192
792	4546	1186
793	4552	1181
794	4558	1175
795	4564	1169
796	4570	1164
797	4575	1158
798	4581	1152
799	4586	1146
800	4591	1140
801	4597	1134
802	4602	1129
803	4606	1123
804	4611	1117
805	4617	1111
806	4622	1105
807	4627	1099
808	4632	1093
809	4637	1087
810	4644	1082
811	4650	1076
812	4656	1071
813	4662	1065
814	4667	1059
815	4673	1053
816	4679	1048
817	4684	1042
818	4690	1036
819	4695	1030
820	4700	1024
821	4705	1018
822	4710	1013
823	4716	1007
824	4721	1001
825	4727	995
826	4732	990
827	4738	984
828	4743	978
829	4748	972
830	4754	966
831	4760	961
832	4766	955
833	4771	949
834	4777	943
835	4783	938
836	4789	932
837	4795	927
838	4801	921
839	4807	915
840	4812	909
841	4817	904
842	4823	898
843	4828	892
844	4833	886
845	4839	880
846	4845	875
847	4851	869
848	4858	864
849	4864	858
850	4870	852
851	4875	846
852	4881	841
853	4887	835
854	4894	829
855	4900	824
856	4906	818
857	4912	812
858	4918	807
859	4924	801
860	4930	795
861	4936	790
862	4943	784
863	4949	779
864	4956	773
865	4962	767
866	4969	762
867	4975	756
868	4982	751
869	4988	745
870	4994	739
871	5000	734
872	5006	728
873	5012	722
874	5018	716
875	5024	711
876	5032	705
877	5040	700
878	5047	694
879	5052	688
880	5057	683
881	5063	677
882	5069	671
883	5075	665
884	5081	660
885	5086	654
886	5092	648
887	5099	643
888	5105	637
889	5111	631
890	5117	626
891	5123	620
892	5129	614
893	5135	608
894	5140	603
895	5146	597
896	5152	591
897	5158	585
898	5164	580
899	5169	574
900	5175	568
901	5181	562
902	5186	557
903	5192	551
904	5198	545
905	5203	539
906	5209	534
907	5215	528
908	5220	522
909	5226	516
910	5232	511
911	5237	505
912	5243	499
913	5250	493
914	5256	488
915	5261	482
916	5267	476
917	5272	470
918	5278	465
919	5284	459
920	5290	453
921	5296	448
922	5301	442
923	5307	436
924	5313	430
925	5319	425
926	5326	419
927	5332	413
928	5338	407
929	5343	402
930	5349	396
931	5355	390
932	5361	384
933	5367	379
934	5373	373
935	5379	367
936	5384	362
937	5390	356
938	5396	350
939	5402	344
940	5408	339
941	5414	333
942	5421	327
943	5427	321
944	5433	316
945	5438	310
946	5445	304
947	5451	299
948	5457	293
949	5462	287
950	5468	281
951	5474	276
952	5479	270
953	5485	264
954	5492	258
955	5498	253
956	5504	247
957	5510	241
958	5516	235
959	5522	230
960	5528	224
961	5534	218
962	5540	212
963	5546	207
964	5552	201
965	5558	195
966	5564	189
967	5570	184
968	5576	178
969	5581	172
970	5587	166
971	5592	161
972	5599	155
973	5605	149
974	5611	143
975	5617	138
976	5623	132
977	5629	126
978	5635	120
979	5641	115
980	5647	109
981	5653	103
982	5658	97
983	5665	92
984	5670	86
985	5676	80
986	5682	74
987	5688	69
988	5694	63
989	5700	57
990	5706	51
991	5712	46
992	5717	40
993	5724	34
994	5730	28
995	5736	23
996	5742	17
997	5748	11
998	5754	5
999	5761	0
